APD,-0.35093151633826086,22.12450581,3.86541245,7.70333
AA,-0.9622291174667948,26.31859368,0.980443673,0.59005
ARG,0.6374427125280729,28.53094262,4.844509772,6.96546
AVY,1.1177807063385465,20.39999186,5.3147278,6.91034
CF,-0.6601036455633658,10.82036939,2.342845194,13.61936
BLL,0.30442575326897786,34.01268052,9.642396718,7.49052
DD,-0.09824248285491095,20.99105705,4.606864089,8.11578
FMC,-1.054236788003455,6.802485262,3.408507243,6.7172
ECL,0.5467421354057566,30.67433981,4.688769991,7.06567
IFF,0.9497950253732309,22.66557273,6.364070079,13.626
IP,-1.1549054409556523,17.77153255,3.096824317,3.30516
LYB,0.4154960217575234,9.711165847,5.665733997,16.95808
NEM,-0.09517477682896065,18.82114684,0.873182529,3.21111
NUE,-0.5392341217075007,20.575713,1.654175644,5.35262
OI,-1.1966413987759226,-41.91126456,2.470049302,2.83477
MON,-0.7292918702608108,20.49592224,6.594832442,11.98406
MOS,-1.235733562628588,8.370065559,0.947429697,5.84646
PX,-1.079732824623088,20.85650177,5.267720091,9.07088
PPG,-0.6298475532554927,23.14508114,5.188327943,13.70447
SEE,0.2476394640367149,33.77585708,8.075103157,5.2028
SHW,-0.015560789250129992,24.93115096,24.67231237,15.05749
EMN,-0.33784784659986133,13.66640566,2.858050996,6.32554
DOW,0.5722621588442306,14.05263323,3.234704271,6.53355
FCX,-1.00359805560499,-0.644046094,0.384646415,-1.46975
WRK,-1000,15.59359405,1.006225608,3.25996
MLM,0.7364045081368773,32.96573741,2.112279553,3.69055
VMC,1.630448172750918,75.09053323,2.999308078,4.36459
