APC,-1.1139302128777508,-4.221051822,1.247687258,-2.13195
APA,-0.6588235749648574,-0.814232815,0.645532356,-9.03928
CHK,-1.1305565540694493,-0.24643005,0.215662462,3.7717
BHI,-0.4787806731921602,-73.56925395,1.07538767,6.58833
COG,-1.0722408645216799,-32.53872273,3.409838221,2.92602
CVX,-0.5920882319905862,19.54730182,1.090726942,7.58871
CAM,0.5067542858814421,19.79683063,2.705215244,6.59408
DO,-0.8468682416953479,41.45465726,0.650068041,5.20755
XEC,-0.39853359948465666,-4.889962392,1.739538036,6.52516
DVN,-1.1445189651791066,-1.257937784,0.607641971,4.06228
COP,-0.9246930306087995,-56.98628375,1.107508284,6.21964
CPGX,-1000,23.85496183,1.520655828,3.99516
CNX,-1.1152796086134429,-5.445721317,0.341328737,2.68004
EOG,-0.6779156727590121,-10.16576167,2.191311614,9.32531
ESV,-0.8717816645227822,-1.578944456,0.463775232,-20.67737
XOM,-0.5670796290864947,16.46873813,1.877693744,9.39418
ESV,-0.8717816645227822,-1.578944456,0.463775232,-20.67737
HES,-0.9355499316924945,-11.07440847,0.624061125,6.57683
HP,-0.3898881753626069,13.84078651,1.178362299,6.19617
KMI,-1.8439680458431575,27.22975745,0.930484981,2.88158
MRO,-1.1855994162981733,-17.67414577,0.404293572,9.00741
NBL,-0.7287407955584465,-18294.44,1.160921941,6.40123
NFX,0.4257541692289573,-2.232565078,1.148578969,10.53492
OKE,-1.0254585349306573,16.52671215,8.676073251,2.86182
NOV,-1.3937803571466982,10.13199884,0.678115285,7.61567
MUR,-1.3281024366138452,-2.986571203,0.464791971,5.72754
PXD,-0.40065380982888416,23.71392214,2.177091609,7.6385
PSX,0.5991002752423346,9.563493528,2.070126232,10.00325
SWN,-1.323171785088618,-1.232352997,0.540612801,8.3782
TSO,1.2711986400195845,8.150173105,2.9562367,6.64431
SE,-1.0622601191540813,20.75818708,1.968596368,4.50875
RIG,-0.47718688078498744,-2.022615121,0.422672723,-5.24631
SLB,-0.6312863876380229,26.31152086,2.350146568,8.5537
FTI,-1.005245226562639,13.38760089,2.736479515,10.58441
EQT,-0.9742005534909087,38.86586246,1.724420377,4.35298
HAL,-0.34269664944097983,111.0385993,1.774507814,12.22654
MPC,0.5099930601030689,8.252305998,2.642388834,9.01113
RRC,-1.0511394150309767,-36.13060457,1.200296343,9.14244
OXY,-0.4855468581915532,-10.19531085,1.490336947,2.60807
WMB,-0.768948130869848,56.10862807,2.187295133,6.69082
VLO,1.4972399711543138,7.434229625,1.758768996,8.37421
